data,1
memo1
memo2
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
0,0.314088,0.357487,0.398518,0.435966,0.468819,0.496303,0.517912,0.533418,0.54287,0.546587,0.545127,0.539256,0.529898,0.518089,0.504918,0.491474,0.478788,0.467784,0.459237,0.453732,0.451644,0.453118,0.458072,0.4662,0.476994,0.489775,0.503726,0.51794,0.531468,0.543364,0.552743,0.558818,0.560949,0.558676,0.551743,0.540113,0.523979,0.503756,0.480064,0.453704,0.425623,0.396875,0.368568,0.34182,0.317704,0.297197,0.281139,0.270183,0.26477,0.265103,0.271131,0.282551,0.298815,0.319154,0.342609,0.368069,0.394326,0.420126,0.444226,0.465455,0.482764,0.495285,0.502367,0.503613,0.498899,0.488387,0.472516,0.45199,0.42774,0.400884,0.372677,0.344446,0.317532,0.293217,0.272664,0.256856,0.246548,0.242224,0.24407,0.251965,0.26548,0.2839,0.306255,0.33137,0.35792,0.384499,0.409691,0.43214,0.450624,0.464119,0.471849,0.473335,0.468417,0.457269,0.440391,0.418584,0.392915,0.364662,0.335247,0.306164,0.278905,0.254876,0.235327,0.221283,0.213487,0.212363,0.217982,0.230064,0.247981,0.270789,0.297272,0.326005,0.355419,0.383887,0.409801,0.431659,0.44814,0.458174,0.461,0.456207,0.44376,0.424004,0.397652,0.365753,0.329643,0.290882,0.251182,0.212317,0.176047,0.144025,0.117722,0.0983495,0.0868084,0.0836397,0.089001,0.102659,0.124002,0.15207,0.185601,0.223096,0.262889,0.303227,0.34236,0.378616,0.410487,0.436698,0.456262,0.468527,0.473201,0.470362,0.460448,0.444231,0.422775,0.397376,0.3695,0.340708,0.312577,0.286624,0.264234,0.246597,0.234654,0.229055,0.230135,0.237909,0.252075,0.272038,0.296949,0.325752,0.357241,0.390128,0.423101,0.4549,0.484368,0.51051,0.532538,0.549899,0.562297,0.569699,0.572321,0.570613,0.565223,0.556954,0.546714,0.535464,0.524163,0.51371,0.5049,0.498376,0.494599,0.493823,0.496084,0.501197,0.508772,0.518235,0.528859,0.539806,0.550175,0.559049,0.565545,0.568866,0.568347,0.563486,0.553986,0.539765,0.520974,0.497993,0.471417,0.442037,0.410806,0.378796,0.347153,0.317046,0.289611,0.265902,0.246836,0.233152,0.225371,0.223771,0.228362,0.23889,0.25483,0.275415,0.299657,0.32639,0.354314,0.382054,0.408215,0.431445,0.450493,0.464268,0.471888,0.472722,0.466422,0.452946,0.432559,0.405831,0.373617,0.337022,0.297359,0.256094,0.214787,0.175026,0.13836,0.106234,0.0799268,0.0604983,0.0487441,0.0451629,0.0499365,0.0629243,0.0836712,0.111431,0.145198,0.18376,0.225745,0.269686
1,0.314096,0.357518,0.398581,0.436074,0.46899,0.496557,0.51827,0.533903,0.543504,0.547388,0.546109,0.540424,0.531249,0.519607,0.506578,0.493236,0.480603,0.469593,0.460972,0.455324,0.453021,0.454217,0.458837,0.466592,0.476995,0.48939,0.502991,0.51692,0.53026,0.542098,0.551574,0.557931,0.560545,0.558969,0.552949,0.542446,0.527636,0.508909,0.486852,0.462225,0.435928,0.408959,0.382373,0.357234,0.334561,0.315285,0.300204,0.289942,0.284922,0.285338,0.291145,0.30206,0.317564,0.336931,0.35925,0.383471,0.408445,0.43298,0.455894,0.476072,0.492515,0.504392,0.51108,0.512196,0.507618,0.497495,0.482244,0.46253,0.439239,0.413438,0.386326,0.359172,0.333259,0.309819,0.28997,0.27466,0.264618,0.260314,0.261937,0.269374,0.282222,0.299798,0.321175,0.345225,0.370677,0.396176,0.420358,0.441915,0.459668,0.472622,0.48003,0.481423,0.476645,0.465862,0.449554,0.428497,0.403721,0.376462,0.348099,0.320079,0.293846,0.270763,0.252039,0.238665,0.231356,0.230516,0.236205,0.248139,0.265694,0.28794,0.31368,0.341512,0.369897,0.397239,0.421964,0.442601,0.457861,0.466703,0.468392,0.462537,0.44912,0.428497,0.401386,0.368839,0.332189,0.292989,0.252941,0.213809,0.17734,0.145174,0.118769,0.0993297,0.0877465,0.0845559,0.0899135,0.103587,0.124969,0.153107,0.186749,0.224406,0.264425,0.305065,0.344586,0.381328,0.41379,0.440698,0.461067,0.474239,0.479912,0.478149,0.469371,0.454324,0.434046,0.409803,0.38303,0.355255,0.328024,0.302825,0.281016,0.263765,0.251994,0.246342,0.24714,0.254403,0.267838,0.286865,0.310655,0.338178,0.368261,0.399648,0.431065,0.461289,0.489201,0.513844,0.534462,0.550534,0.561791,0.568219,0.570052,0.567751,0.561966,0.553498,0.543249,0.532167,0.521191,0.511201,0.502965,0.497098,0.494031,0.493987,0.496969,0.502764,0.51095,0.520926,0.53194,0.543134,0.553588,0.562372,0.568595,0.571459,0.570296,0.564617,0.554133,0.538781,0.518734,0.494397,0.466395,0.43555,0.402847,0.369394,0.336369,0.304974,0.276376,0.251653,0.231747,0.217414,0.209187,0.20735,0.211915,0.222621,0.238934,0.260071,0.285023,0.312601,0.341478,0.37025,0.397496,0.421833,0.441986,0.456838,0.465486,0.467282,0.461865,0.449183,0.429495,0.403372,0.371669,0.335496,0.296175,0.255181,0.214083,0.174481,0.137933,0.105894,0.0796508,0.0602708,0.0485546,0.0450046,0.0498051,0.0628166,0.0835848,0.111363,0.145148,0.183724,0.225722,0.269678
2,0.314153,0.357611,0.39872,0.436275,0.46927,0.496938,0.518776,0.534556,0.544327,0.5484,0.547324,0.541846,0.532873,0.521418,0.508548,0.495325,0.482759,0.471754,0.463069,0.457283,0.45477,0.455688,0.459973,0.467352,0.477358,0.489361,0.502604,0.516241,0.529386,0.541159,0.55073,0.557365,0.560464,0.559588,0.554491,0.545126,0.531655,0.514443,0.494043,0.471172,0.446682,0.421518,0.39668,0.373172,0.351963,0.333935,0.319844,0.310284,0.305658,0.306151,0.311725,0.322116,0.336836,0.3552,0.37635,0.399294,0.422945,0.446177,0.467869,0.486963,0.502511,0.513721,0.52,0.520979,0.516539,0.506816,0.492202,0.473325,0.451026,0.426318,0.400341,0.374305,0.349436,0.32691,0.307799,0.293015,0.283259,0.278989,0.280391,0.287366,0.299532,0.316241,0.33661,0.35956,0.383874,0.408252,0.431384,0.452011,0.468998,0.481387,0.488453,0.489744,0.485107,0.4747,0.458984,0.438707,0.414863,0.388645,0.361385,0.334482,0.30933,0.287246,0.269396,0.256735,0.249949,0.249419,0.255193,0.266983,0.284171,0.305837,0.330806,0.357699,0.38501,0.411173,0.434651,0.454006,0.467983,0.475571,0.476062,0.469088,0.454648,0.43311,0.4052,0.37197,0.334751,0.29509,0.254677,0.215267,0.178592,0.146279,0.119775,0.100273,0.0886546,0.0854516,0.0908168,0.104519,0.125956,0.15418,0.187951,0.225791,0.266058,0.307025,0.346963,0.384221,0.417304,0.444944,0.466153,0.480268,0.486978,0.48633,0.478723,0.464881,0.445813,0.422756,0.397112,0.370377,0.344063,0.31963,0.298409,0.281545,0.269944,0.264232,0.264736,0.271474,0.284159,0.302229,0.324875,0.351095,0.379746,0.409607,0.439442,0.468066,0.494398,0.517517,0.536702,0.551462,0.561555,0.566987,0.56801,0.565092,0.558888,0.550199,0.539917,0.528978,0.518304,0.508752,0.501066,0.495833,0.493455,0.494124,0.497812,0.504276,0.513065,0.523551,0.534959,0.546409,0.556964,0.565682,0.571664,0.574106,0.572346,0.565898,0.554487,0.538067,0.516829,0.491205,0.461846,0.429605,0.3955,0.360669,0.326325,0.293698,0.263986,0.238293,0.21758,0.202622,0.193963,0.191894,0.196429,0.207299,0.223962,0.245619,0.271242,0.299618,0.329396,0.359146,0.387418,0.412803,0.434,0.449869,0.459487,0.46219,0.457604,0.445666,0.426634,0.401075,0.369847,0.334067,0.295061,0.254315,0.213409,0.173951,0.137511,0.105551,0.0793675,0.0600329,0.0483534,0.0448348,0.0496638,0.0627021,0.0834959,0.111298,0.145106,0.183705,0.225726,0.269706
3,0.314253,0.35776,0.398931,0.436564,0.469657,0.497445,0.519427,0.535377,0.54534,0.549625,0.548773,0.543525,0.534777,0.52353,0.510839,0.497753,0.48527,0.474284,0.465546,0.459632,0.456915,0.457559,0.461511,0.468512,0.478118,0.489724,0.502601,0.515937,0.528879,0.540577,0.550234,0.557141,0.560716,0.560537,0.556358,0.54813,0.536,0.520307,0.50157,0.480465,0.457793,0.434445,0.411365,0.389501,0.369766,0.352993,0.339898,0.331043,0.326808,0.327372,0.332704,0.342556,0.356472,0.373811,0.393767,0.415406,0.437707,0.459607,0.480049,0.498034,0.512666,0.523194,0.529052,0.529891,0.525591,0.516279,0.502318,0.484302,0.463024,0.439441,0.414634,0.389754,0.365964,0.344387,0.326047,0.311814,0.302365,0.298142,0.299329,0.305837,0.31731,0.333135,0.352471,0.374291,0.397433,0.420655,0.442701,0.462366,0.478557,0.490355,0.497063,0.498242,0.493745,0.483722,0.468615,0.449143,0.426264,0.401127,0.375014,0.349274,0.325251,0.304212,0.28728,0.275371,0.26914,0.268944,0.274819,0.286472,0.303287,0.32436,0.348534,0.374458,0.400655,0.425595,0.447775,0.465796,0.478436,0.484718,0.483959,0.475818,0.460309,0.437816,0.409071,0.375128,0.337316,0.297174,0.256384,0.216686,0.1798,0.147341,0.120741,0.101181,0.0895355,0.0863298,0.0917142,0.105459,0.126964,0.155291,0.189209,0.22725,0.267786,0.309101,0.349479,0.387277,0.421009,0.449408,0.471485,0.486571,0.494345,0.494838,0.488429,0.475816,0.45798,0.436128,0.411628,0.385943,0.360556,0.336894,0.316262,0.299784,0.288347,0.282568,0.282769,0.288969,0.300892,0.317992,0.339481,0.364384,0.391591,0.419915,0.448159,0.475172,0.499915,0.521502,0.539245,0.552684,0.561603,0.566029,0.566229,0.56268,0.556043,0.547113,0.536778,0.525959,0.515562,0.506423,0.499259,0.494633,0.492917,0.494273,0.498645,0.505758,0.515136,0.526124,0.537922,0.549632,0.5603,0.568972,0.57474,0.576798,0.574485,0.567321,0.555042,0.537618,0.51526,0.488421,0.457781,0.424221,0.388789,0.352653,0.317057,0.283262,0.252492,0.225874,0.204393,0.188837,0.179764,0.17747,0.181969,0.192988,0.209976,0.232119,0.25837,0.287495,0.31812,0.348787,0.378022,0.40439,0.426566,0.443388,0.453915,0.457465,0.453653,0.442409,0.423985,0.398948,0.368159,0.332738,0.294022,0.253502,0.212769,0.173441,0.137097,0.105208,0.0790775,0.0597846,0.0481399,0.0446525,0.0495112,0.0625787,0.0834015,0.111233,0.14507,0.183699,0.225751,0.269765
4,0.314391,0.357961,0.399208,0.436935,0.470143,0.498071,0.520218,0.536359,0.546537,0.551056,0.550451,0.545455,0.536955,0.525938,0.513446,0.500516,0.488134,0.477183,0.468406,0.462375,0.459464,0.45984,0.463462,0.470087,0.479291,0.490496,0.503002,0.516029,0.528756,0.540369,0.550098,0.557262,0.561301,0.561804,0.558531,0.551428,0.540627,0.526443,0.509362,0.490015,0.469156,0.447622,0.426297,0.406075,0.387813,0.372295,0.360195,0.352041,0.348194,0.348825,0.353906,0.363208,0.376309,0.392609,0.411354,0.43167,0.452602,0.473151,0.492326,0.509187,0.522889,0.532725,0.538159,0.538856,0.534702,0.525809,0.512518,0.495382,0.475148,0.452719,0.429113,0.40542,0.382741,0.362144,0.344601,0.330944,0.321821,0.317657,0.318635,0.324677,0.335451,0.350377,0.368662,0.389329,0.411273,0.43331,0.45424,0.472913,0.488283,0.499469,0.5058,0.506858,0.502498,0.492863,0.478377,0.459729,0.437841,0.413815,0.388884,0.364346,0.341491,0.321537,0.30556,0.294436,0.288787,0.288947,0.294938,0.306459,0.322901,0.343371,0.366733,0.391662,0.416715,0.440396,0.461241,0.477885,0.489145,0.494076,0.492026,0.482676,0.466063,0.442582,0.412973,0.378294,0.339869,0.299233,0.258054,0.218064,0.180965,0.14836,0.121667,0.102055,0.0903913,0.0871929,0.0926079,0.106407,0.127995,0.156439,0.190519,0.228778,0.269599,0.311282,0.352118,0.390476,0.424875,0.454052,0.477016,0.493093,0.501949,0.503599,0.498401,0.48703,0.470436,0.449795,0.426444,0.401812,0.37735,0.354456,0.334409,0.31831,0.30703,0.301176,0.301065,0.306721,0.317877,0.334001,0.354331,0.377917,0.403681,0.430471,0.457127,0.482537,0.505697,0.525758,0.542066,0.554191,0.561939,0.565361,0.564736,0.560551,0.55347,0.544287,0.533881,0.523162,0.513017,0.504262,0.497592,0.493542,0.492456,0.494469,0.499495,0.507233,0.517178,0.528651,0.540832,0.552801,0.56359,0.572231,0.577811,0.57952,0.576697,0.56887,0.555784,0.537423,0.514018,0.486042,0.454202,0.419403,0.382723,0.34536,0.308585,0.273689,0.241919,0.214429,0.19222,0.176097,0.166629,0.164116,0.168575,0.179728,0.197015,0.219607,0.246442,0.276264,0.307676,0.339199,0.36933,0.396614,0.4197,0.437409,0.448778,0.453114,0.450019,0.439415,0.421551,0.396994,0.366606,0.331513,0.293058,0.252742,0.212164,0.172951,0.136691,0.104865,0.0787814,0.0595262,0.0479139,0.044457,0.0493459,0.0624444,0.0832994,0.111164,0.145036,0.183701,0.225793,0.269852
5,0.314563,0.358207,0.399545,0.437382,0.470722,0.498808,0.521139,0.53749,0.547904,0.552679,0.552344,0.547623,0.539391,0.528625,0.516352,0.503598,0.491335,0.480436,0.471636,0.465501,0.462406,0.462524,0.465822,0.472074,0.480878,0.49168,0.50381,0.516519,0.529022,0.540535,0.550322,0.557725,0.562207,0.56337,0.56098,0.554979,0.545484,0.532786,0.517338,0.499729,0.480663,0.460923,0.441339,0.422745,0.405944,0.391671,0.380557,0.373097,0.369632,0.370323,0.375148,0.383896,0.396175,0.411429,0.428956,0.447944,0.467498,0.48669,0.504591,0.520321,0.53309,0.54223,0.547239,0.547798,0.543795,0.535332,0.522722,0.506485,0.487315,0.466061,0.443681,0.4212,0.399659,0.380066,0.363344,0.350285,0.341504,0.337414,0.338191,0.34377,0.353841,0.367862,0.385082,0.40458,0.425305,0.446134,0.465926,0.483584,0.498111,0.508664,0.514604,0.515529,0.511301,0.502053,0.488194,0.470384,0.449503,0.42661,0.402888,0.379579,0.357923,0.339083,0.32409,0.313777,0.308734,0.309269,0.315388,0.326785,0.342855,0.362717,0.385255,0.409174,0.433061,0.455457,0.474936,0.490174,0.500022,0.50357,0.500197,0.489611,0.471866,0.447373,0.41688,0.381447,0.342397,0.301255,0.259683,0.219396,0.182085,0.149336,0.122555,0.102899,0.0912239,0.0880422,0.0934982,0.107363,0.129045,0.15762,0.191874,0.230364,0.271485,0.313548,0.354856,0.393787,0.428866,0.458832,0.482693,0.499769,0.509713,0.512525,0.508541,0.49841,0.483056,0.463622,0.441413,0.417826,0.39428,0.372144,0.352671,0.33694,0.325808,0.319871,0.319443,0.324552,0.334941,0.350094,0.369271,0.391552,0.415887,0.441161,0.466249,0.490077,0.511677,0.530236,0.545131,0.55596,0.562555,0.564985,0.563544,0.558728,0.551201,0.541758,0.531267,0.520628,0.510712,0.502313,0.496103,0.492594,0.492103,0.494737,0.500384,0.508715,0.519201,0.531139,0.543687,0.55591,0.566822,0.575446,0.580861,0.582253,0.578964,0.570526,0.556694,0.537465,0.513087,0.484054,0.451095,0.415142,0.377297,0.338787,0.300911,0.264984,0.232277,0.203967,0.181073,0.164415,0.154572,0.151849,0.156263,0.167535,0.185093,0.208098,0.23547,0.265936,0.298077,0.330389,0.36135,0.389479,0.413407,0.431933,0.444079,0.449138,0.446701,0.436684,0.419332,0.395211,0.365187,0.33039,0.292169,0.252034,0.211592,0.17248,0.136294,0.104522,0.0784795,0.0592577,0.0476755,0.0442479,0.0491671,0.062298,0.0831875,0.11109,0.145001,0.183709,0.225848,0.269961
6,0.314762,0.358492,0.399933,0.437893,0.471382,0.499641,0.522175,0.538756,0.549424,0.554473,0.554428,0.550001,0.542057,0.531561,0.519528,0.506968,0.494841,0.484011,0.475203,0.468979,0.465714,0.465584,0.468567,0.474454,0.48286,0.493259,0.505011,0.517397,0.529665,0.541065,0.550889,0.558511,0.56341,0.565205,0.563668,0.558734,0.55051,0.539263,0.525412,0.509505,0.492199,0.474223,0.45635,0.439358,0.423996,0.410949,0.400804,0.394028,0.390935,0.391681,0.396247,0.404439,0.415898,0.430108,0.446421,0.464083,0.482264,0.500102,0.516732,0.531336,0.543175,0.551625,0.556214,0.556641,0.552797,0.544771,0.532855,0.517528,0.499437,0.479376,0.458239,0.43699,0.416606,0.398037,0.382156,0.36971,0.361289,0.357284,0.357869,0.362991,0.372363,0.385476,0.401626,0.419944,0.439438,0.459044,0.477681,0.494306,0.507972,0.517877,0.523411,0.524192,0.520086,0.511222,0.49799,0.48102,0.461155,0.439408,0.416909,0.394848,0.374409,0.356705,0.342716,0.333234,0.328813,0.329737,0.335996,0.347276,0.362977,0.38223,0.40394,0.42684,0.449548,0.470646,0.488743,0.502555,0.510972,0.513118,0.508404,0.496562,0.47767,0.45215,0.420761,0.384565,0.344882,0.303232,0.261264,0.22068,0.183159,0.15027,0.123406,0.103712,0.0920346,0.088878,0.0943842,0.108324,0.130111,0.158825,0.193264,0.231995,0.273425,0.315875,0.357663,0.397172,0.432935,0.463694,0.488453,0.506525,0.517553,0.52152,0.51874,0.509839,0.49571,0.477467,0.456382,0.433821,0.411172,0.389775,0.370859,0.355483,0.344487,0.338459,0.337712,0.342275,0.351904,0.366099,0.384142,0.40514,0.428075,0.451865,0.47542,0.497703,0.517782,0.534875,0.548393,0.557961,0.563433,0.564896,0.562657,0.55722,0.549254,0.539547,0.528962,0.518386,0.508674,0.500602,0.49482,0.491815,0.491879,0.495095,0.501323,0.510211,0.521206,0.533584,0.546482,0.558948,0.569983,0.578599,0.583869,0.584976,0.581262,0.572265,0.557747,0.537718,0.512443,0.482434,0.44844,0.411418,0.372494,0.33292,0.29402,0.257134,0.223555,0.19448,0.170946,0.153786,0.143588,0.140663,0.14503,0.156404,0.174207,0.197587,0.225451,0.256506,0.289314,0.322352,0.354073,0.382979,0.407678,0.426953,0.43981,0.445529,0.443692,0.434209,0.417322,0.393595,0.363898,0.329365,0.291352,0.251377,0.211054,0.172029,0.135906,0.104179,0.0781719,0.0589794,0.0474244,0.0440248,0.0489743,0.0621383,0.0830646,0.111007,0.144962,0.183719,0.225913,0.270087
7,0.314982,0.358808,0.400363,0.438459,0.472109,0.500556,0.523307,0.540132,0.55107,0.556411,0.55667,0.552554,0.544915,0.534706,0.522928,0.510578,0.498605,0.487859,0.479059,0.472761,0.46934,0.468976,0.471656,0.477186,0.485202,0.495203,0.506575,0.518633,0.530658,0.54193,0.551775,0.55959,0.564878,0.567271,0.566547,0.56264,0.555642,0.545798,0.533496,0.519244,0.50365,0.487393,0.471189,0.455761,0.441805,0.429955,0.42076,0.414649,0.411919,0.412714,0.41702,0.424661,0.435308,0.448485,0.463596,0.479946,0.496769,0.513268,0.528642,0.542133,0.553054,0.560826,0.565005,0.565309,0.561632,0.554054,0.542839,0.52843,0.511428,0.492569,0.472687,0.452682,0.433468,0.415937,0.40091,0.389094,0.381044,0.377137,0.377543,0.382216,0.390894,0.403103,0.418184,0.43532,0.453578,0.471953,0.489424,0.505005,0.517797,0.52704,0.532156,0.532779,0.528785,0.520296,0.507683,0.491549,0.472698,0.452097,0.430826,0.410019,0.390805,0.374245,0.361271,0.35263,0.348843,0.350167,0.356574,0.367746,0.383083,0.401731,0.422616,0.444496,0.466025,0.48582,0.502531,0.514912,0.521892,0.52263,0.516569,0.503467,0.483423,0.456874,0.424587,0.387627,0.347311,0.305153,0.262791,0.221915,0.184187,0.151164,0.124223,0.104498,0.092824,0.0896997,0.0952633,0.109286,0.131184,0.160045,0.194675,0.233651,0.275394,0.318236,0.360503,0.40059,0.437034,0.468578,0.494226,0.513283,0.525379,0.530482,0.528886,0.521189,0.508259,0.491179,0.47119,0.449627,0.427847,0.407164,0.388783,0.373743,0.36287,0.356745,0.355678,0.359703,0.368585,0.381843,0.39878,0.41853,0.440105,0.462456,0.484528,0.505318,0.523928,0.539609,0.5518,0.560151,0.564541,0.565072,0.562064,0.556027,0.547631,0.537663,0.526977,0.516449,0.506919,0.499144,0.493754,0.491213,0.491791,0.495545,0.502313,0.511719,0.523189,0.535976,0.549202,0.561898,0.573053,0.581669,0.586811,0.587662,0.583563,0.574056,0.558913,0.538153,0.512056,0.481151,0.446207,0.408202,0.368284,0.32773,0.287886,0.250113,0.215727,0.185943,0.161814,0.144185,0.133654,0.130537,0.134852,0.146313,0.164334,0.188053,0.216362,0.247953,0.281368,0.315066,0.347481,0.377093,0.402495,0.422451,0.435955,0.442273,0.44098,0.431979,0.415509,0.392136,0.362731,0.328432,0.290603,0.250766,0.210546,0.171595,0.135524,0.103836,0.077858,0.0586909,0.0471608,0.0437878,0.0487671,0.061965,0.0829295,0.110915,0.144918,0.183728,0.225982,0.270226
8,0.315217,0.359147,0.400825,0.439067,0.472887,0.501533,0.524511,0.541592,0.552811,0.558455,0.559031,0.555237,0.547914,0.538005,0.526495,0.514369,0.502563,0.491917,0.48314,0.476784,0.473221,0.472637,0.475029,0.480214,0.487851,0.497459,0.508456,0.520185,0.53196,0.543093,0.552939,0.560922,0.566567,0.569521,0.569566,0.566636,0.56081,0.552313,0.5415,0.528843,0.514902,0.500306,0.485718,0.471806,0.459212,0.448525,0.440249,0.434783,0.432403,0.433242,0.437291,0.44439,0.454238,0.466401,0.480334,0.495396,0.510888,0.526073,0.540217,0.552618,0.562642,0.569753,0.573537,0.573731,0.570231,0.563106,0.552598,0.539112,0.523202,0.505549,0.486926,0.468168,0.450131,0.433646,0.419482,0.408304,0.400638,0.396841,0.397079,0.401316,0.409311,0.420626,0.434645,0.450605,0.467629,0.484774,0.501076,0.515607,0.527517,0.536088,0.540772,0.541224,0.537326,0.529197,0.51719,0.501878,0.484028,0.464563,0.44451,0.424951,0.406959,0.391542,0.379582,0.371785,0.368635,0.370364,0.376926,0.387997,0.40298,0.421032,0.4411,0.46197,0.482329,0.500831,0.516164,0.527124,0.532675,0.532014,0.524614,0.510261,0.489072,0.461502,0.428324,0.390607,0.349667,0.307008,0.264259,0.223097,0.18517,0.152019,0.125008,0.105257,0.0935921,0.0905056,0.0961317,0.110242,0.132255,0.161265,0.196088,0.235312,0.277366,0.320596,0.363338,0.403994,0.441107,0.473422,0.49994,0.519958,0.533097,0.539306,0.53886,0.532332,0.520563,0.504607,0.485676,0.465073,0.444127,0.424126,0.406253,0.391527,0.380764,0.374535,0.373149,0.376646,0.384802,0.397153,0.413022,0.431569,0.451838,0.472808,0.493459,0.512821,0.530028,0.544361,0.555287,0.562481,0.56584,0.565484,0.561742,0.555131,0.546322,0.536098,0.525309,0.514816,0.505445,0.497937,0.492903,0.490786,0.491833,0.49608,0.503343,0.513224,0.525129,0.538295,0.551825,0.564735,0.576004,0.584624,0.589657,0.590279,0.585834,0.575867,0.560156,0.538734,0.511889,0.480169,0.444359,0.405456,0.364631,0.323179,0.282469,0.243882,0.208755,0.178317,0.153637,0.135573,0.12473,0.12143,0.125692,0.137225,0.155438,0.17946,0.208169,0.240242,0.274206,0.308501,0.341543,0.371795,0.397832,0.418404,0.432491,0.439349,0.438545,0.429977,0.413881,0.390823,0.361676,0.327584,0.289914,0.250197,0.210064,0.171175,0.135148,0.103491,0.0775373,0.058392,0.0468843,0.0435366,0.0485454,0.0617778,0.0827819,0.110812,0.144866,0.183734,0.226053,0.270373
9,0.31546,0.359499,0.401306,0.4397,0.473697,0.502549,0.52576,0.543103,0.55461,0.560562,0.56146,0.557995,0.550996,0.541392,0.530159,0.518267,0.506639,0.496104,0.487364,0.480964,0.477276,0.47649,0.478608,0.483465,0.490735,0.499963,0.510591,0.521995,0.533516,0.544501,0.554331,0.562458,0.568428,0.571901,0.572668,0.57066,0.565945,0.558728,0.549336,0.538203,0.525845,0.512842,0.499805,0.48735,0.476067,0.466497,0.459107,0.454262,0.452216,0.453095,0.456891,0.463461,0.472532,0.483709,0.496494,0.510304,0.5245,0.538409,0.551357,0.562701,0.571857,0.578331,0.581741,0.581838,0.578525,0.57186,0.562061,0.549497,0.534676,0.518224,0.500856,0.483344,0.466481,0.451043,0.437745,0.427212,0.419938,0.416262,0.416345,0.420161,0.427489,0.437925,0.450897,0.465694,0.481495,0.497417,0.512555,0.526036,0.53706,0.544951,0.549192,0.549458,0.545639,0.537849,0.526425,0.511912,0.495041,0.476689,0.457833,0.439502,0.422714,0.408425,0.397469,0.390509,0.387993,0.390127,0.396849,0.407826,0.422465,0.439935,0.459202,0.479081,0.498291,0.515522,0.529501,0.539062,0.543209,0.541173,0.532457,0.516874,0.494563,0.46599,0.431941,0.393484,0.351933,0.308787,0.265664,0.224226,0.186108,0.152837,0.125761,0.105989,0.0943386,0.0912933,0.0969843,0.111183,0.133312,0.162472,0.197485,0.236952,0.279311,0.322921,0.366125,0.407335,0.445098,0.478159,0.505519,0.526467,0.540611,0.547886,0.548546,0.543141,0.532485,0.517604,0.499681,0.479992,0.459837,0.440481,0.423083,0.408648,0.397979,0.39164,0.38994,0.392925,0.400382,0.411861,0.426709,0.444111,0.463135,0.482796,0.5021,0.520111,0.535992,0.549054,0.558788,0.564892,0.567281,0.566089,0.561655,0.554502,0.5453,0.534831,0.523936,0.513465,0.504232,0.496962,0.492246,0.49051,0.491981,0.496673,0.504385,0.514698,0.526999,0.540509,0.554316,0.567424,0.578801,0.58743,0.592367,0.592788,0.588035,0.577656,0.561438,0.539418,0.5119,0.479444,0.442851,0.403136,0.361487,0.31922,0.277722,0.238393,0.202587,0.171551,0.146365,0.1279,0.116767,0.113293,0.117498,0.129089,0.14747,0.171759,0.200824,0.233329,0.267786,0.302617,0.336222,0.367049,0.393657,0.414782,0.429392,0.436734,0.436367,0.428185,0.412421,0.389641,0.360721,0.326809,0.289278,0.249663,0.209604,0.170766,0.134774,0.103142,0.0772084,0.0580819,0.0465947,0.0432713,0.0483093,0.0615765,0.0826213,0.110698,0.144806,0.183734,0.226123,0.270523
